AGEP,COW,MAR,SCHL,SEX,WKHP,WKWN,ESR,OCCP,PERNP,OCCP_GROUP,COW_GROUP,HIGH_EARNER
28,1.0,1,16.0,1,80.0,52.0,1.0,6200.0,220000.0,Construction_Extraction_Farming,Private_ForProfit,1
44,2.0,1,22.0,1,45.0,52.0,1.0,726.0,119000.0,Management_Business_Finance,Private_NonProfit,1
34,1.0,1,20.0,1,40.0,52.0,1.0,7260.0,75000.0,Installation_Maintenance_Repair,Private_ForProfit,0
56,3.0,3,19.0,2,38.0,52.0,1.0,136.0,45000.0,Management_Business_Finance,Local_Gov,0
39,1.0,1,20.0,1,40.0,24.0,1.0,1545.0,38400.0,STEM_Science_Architecture,Private_ForProfit,0
31,1.0,1,21.0,1,55.0,52.0,1.0,1108.0,77000.0,STEM_Science_Architecture,Private_ForProfit,0
32,1.0,5,18.0,2,35.0,52.0,1.0,3602.0,15000.0,Healthcare,Private_ForProfit,0
50,3.0,1,22.0,1,40.0,52.0,1.0,705.0,110150.0,Management_Business_Finance,Local_Gov,1
25,3.0,5,21.0,1,50.0,52.0,1.0,2320.0,75000.0,Education_Legal_Social,Local_Gov,0
48,1.0,1,20.0,1,40.0,52.0,1.0,7700.0,73000.0,Production_Manufacturing,Private_ForProfit,0
49,1.0,1,16.0,1,40.0,52.0,1.0,7200.0,30000.0,Installation_Maintenance_Repair,Private_ForProfit,0
25,1.0,1,21.0,2,40.0,52.0,1.0,4965.0,110000.0,Sales_Office_Admin,Private_ForProfit,1
37,1.0,1,22.0,1,40.0,52.0,1.0,800.0,80000.0,Management_Business_Finance,Private_ForProfit,0
67,1.0,1,16.0,1,40.0,52.0,1.0,4251.0,26000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
23,5.0,5,21.0,2,40.0,52.0,1.0,1021.0,83000.0,STEM_Science_Architecture,Federal_Gov,0
34,2.0,5,19.0,1,35.0,52.0,1.0,2722.0,52000.0,Arts_Media_Design,Private_NonProfit,0
45,7.0,1,16.0,1,50.0,52.0,1.0,4700.0,60000.0,Sales_Office_Admin,Self_Employed_Inc,0
57,1.0,1,19.0,1,40.0,52.0,1.0,1555.0,60000.0,STEM_Science_Architecture,Private_ForProfit,0
50,1.0,1,22.0,2,40.0,32.0,1.0,120.0,59000.0,Management_Business_Finance,Private_ForProfit,0
61,2.0,1,19.0,2,54.0,52.0,1.0,8740.0,16500.0,Production_Manufacturing,Private_NonProfit,0
34,3.0,1,21.0,2,40.0,52.0,1.0,230.0,50000.0,Management_Business_Finance,Local_Gov,0
59,1.0,1,10.0,1,55.0,52.0,1.0,8990.0,52000.0,Production_Manufacturing,Private_ForProfit,0
58,5.0,1,16.0,1,50.0,52.0,1.0,220.0,78000.0,Management_Business_Finance,Federal_Gov,0
59,5.0,1,19.0,2,40.0,52.0,1.0,1555.0,60000.0,STEM_Science_Architecture,Federal_Gov,0
40,1.0,1,13.0,2,40.0,52.0,1.0,4220.0,18000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
48,3.0,1,22.0,2,40.0,52.0,1.0,230.0,75000.0,Management_Business_Finance,Local_Gov,0
43,1.0,1,20.0,2,40.0,52.0,1.0,5000.0,34300.0,Sales_Office_Admin,Private_ForProfit,0
47,6.0,1,1.0,1,40.0,52.0,1.0,4251.0,36000.0,Service_Food_Personal_Cleaning,Self_Employed_NotInc,0
26,1.0,5,21.0,2,40.0,52.0,1.0,5360.0,62000.0,Sales_Office_Admin,Private_ForProfit,0
26,1.0,5,22.0,1,40.0,52.0,1.0,1460.0,80000.0,STEM_Science_Architecture,Private_ForProfit,0
28,1.0,1,19.0,1,40.0,52.0,1.0,8740.0,100000.0,Production_Manufacturing,Private_ForProfit,1
36,1.0,1,19.0,1,40.0,42.0,1.0,1520.0,70000.0,STEM_Science_Architecture,Private_ForProfit,0
31,1.0,3,16.0,2,52.0,52.0,1.0,3500.0,52000.0,Healthcare,Private_ForProfit,0
46,1.0,1,17.0,1,40.0,52.0,1.0,4220.0,36000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
44,1.0,5,16.0,1,40.0,52.0,1.0,4020.0,45000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
36,2.0,1,22.0,1,40.0,52.0,1.0,1065.0,92000.0,STEM_Science_Architecture,Private_NonProfit,1
34,1.0,1,17.0,1,40.0,52.0,1.0,7810.0,42000.0,Production_Manufacturing,Private_ForProfit,0
52,3.0,1,22.0,2,50.0,52.0,1.0,2310.0,60000.0,Education_Legal_Social,Local_Gov,0
56,1.0,1,9.0,1,55.0,52.0,1.0,8650.0,50000.0,Production_Manufacturing,Private_ForProfit,0
66,1.0,1,16.0,1,50.0,52.0,1.0,5940.0,130000.0,Sales_Office_Admin,Private_ForProfit,1
58,1.0,1,21.0,2,40.0,52.0,1.0,5240.0,58000.0,Sales_Office_Admin,Private_ForProfit,0
28,1.0,1,21.0,1,40.0,52.0,1.0,4965.0,76000.0,Sales_Office_Admin,Private_ForProfit,0
69,1.0,1,6.0,2,84.0,52.0,1.0,7840.0,37000.0,Production_Manufacturing,Private_ForProfit,0
43,1.0,5,23.0,1,40.0,52.0,1.0,1240.0,150000.0,STEM_Science_Architecture,Private_ForProfit,1
34,1.0,5,18.0,1,40.0,52.0,1.0,9600.0,7000.0,Transportation_Material_Moving,Private_ForProfit,0
34,2.0,1,23.0,2,50.0,52.0,1.0,3090.0,76000.0,Healthcare,Private_NonProfit,0
33,1.0,5,19.0,2,40.0,52.0,1.0,5400.0,24000.0,Sales_Office_Admin,Private_ForProfit,0
37,2.0,5,18.0,1,38.0,52.0,1.0,4230.0,25000.0,Service_Food_Personal_Cleaning,Private_NonProfit,0
56,1.0,1,11.0,2,37.0,52.0,1.0,5400.0,34000.0,Sales_Office_Admin,Private_ForProfit,0
31,1.0,1,19.0,1,40.0,52.0,1.0,2861.0,35000.0,Arts_Media_Design,Private_ForProfit,0
34,1.0,1,20.0,2,40.0,52.0,1.0,3255.0,98000.0,Healthcare,Private_ForProfit,1
42,1.0,5,22.0,1,40.0,52.0,1.0,705.0,152000.0,Management_Business_Finance,Private_ForProfit,1
48,1.0,5,19.0,2,40.0,52.0,1.0,8650.0,51000.0,Production_Manufacturing,Private_ForProfit,0
45,5.0,5,21.0,1,40.0,52.0,1.0,3870.0,80000.0,Protective_Service,Federal_Gov,0
69,2.0,1,19.0,1,40.0,52.0,1.0,2050.0,43000.0,Education_Legal_Social,Private_NonProfit,0
72,2.0,2,21.0,2,98.0,52.0,1.0,650.0,100000.0,Management_Business_Finance,Private_NonProfit,1
60,1.0,1,17.0,1,48.0,52.0,1.0,8990.0,120000.0,Production_Manufacturing,Private_ForProfit,1
61,1.0,1,22.0,2,50.0,52.0,1.0,410.0,170000.0,Management_Business_Finance,Private_ForProfit,1
